Primary_User	Article1	Article2	Article3	Article4	Article5	Article6	Article7	Article8	Article9	Article10
User_10262.txt	Asia_10573.txt	Asia_10005.txt	Asia_12212.txt	Asia_14638.txt	Asia_13687.txt	Asia_15905.txt	Asia_9953.txt	Sports_13945.txt	Sports_9315.txt	Asia_11217.txt
User_10277.txt	Asia_11310.txt	Asia_10658.txt	Asia_12630.txt	Asia_10679.txt	Crime_13162.txt	Showbiz_15823.txt	Asia_12864.txt	Asia_13070.txt	Showbiz_9431.txt	World_10239.txt
User_102817.txt	World_13764.txt	Sports_13610.txt	Asia_14204.txt	Asia_11236.txt	Crime_15553.txt	Showbiz_13548.txt	Asia_16151.txt	Asia_10211.txt	Science_15463.txt	Crime_15813.txt
User_102968.txt	Asia_10373.txt	Singapore_13443.txt	Asia_12954.txt	Asia_10005.txt	Singapore_9619.txt	Asia_13499.txt	Singapore_9609.txt	World_15028.txt	Sports_12279.txt	Asia_16182.txt
User_10330.txt	Sports_11230.txt	Showbiz_15180.txt	World_9542.txt	Singapore_12523.txt	Asia_9394.txt	Showbiz_12892.txt	Sports_10759.txt	Crime_11198.txt	World_11200.txt	Science_9764.txt
User_10341.txt	Science_15949.txt	Asia_9965.txt	Asia_10573.txt	Asia_15393.txt	Asia_13484.txt	Asia_14428.txt	Asia_10046.txt	Asia_16269.txt	Asia_11465.txt	Showbiz_14710.txt
User_10348.txt	Asia_12897.txt	Science_9652.txt	Singapore_12454.txt	Singapore_12867.txt	Singapore_15625.txt	Asia_14519.txt	Singapore_14300.txt	Science_14155.txt	Asia_9916.txt	Singapore_9456.txt
User_10367.txt	Asia_12727.txt	Asia_9320.txt	World_9317.txt	Asia_10006.txt	World_14514.txt	World_13552.txt	Asia_11478.txt	Singapore_15831.txt	Asia_11240.txt	World_13641.txt
User_103676.txt	Asia_12298.txt	Asia_14936.txt	World_14915.txt	Crime_15941.txt	Crime_14829.txt	Asia_12023.txt	World_11700.txt	World_9895.txt	Crime_9302.txt	World_13796.txt
User_10376.txt	Asia_10005.txt	Asia_10006.txt	Singapore_9395.txt	Asia_16082.txt	Asia_12287.txt	Asia_14200.txt	World_13903.txt	Asia_10014.txt	Asia_9972.txt	Asia_9638.txt
User_10389.txt	Singapore_13445.txt	Science_9807.txt	Crime_9324.txt	Singapore_15226.txt	Singapore_9611.txt	Showbiz_12718.txt	Singapore_9221.txt	Science_13407.txt	Crime_13608.txt	World_14785.txt
User_104016.txt	World_10430.txt	Science_14408.txt	Science_14966.txt	Crime_15148.txt	Singapore_9354.txt	Asia_13158.txt	World_12485.txt	Asia_15173.txt	Crime_15265.txt	World_15163.txt
User_104033.txt	Crime_10851.txt	World_12283.txt	Asia_14384.txt	Asia_16071.txt	Asia_10041.txt	Singapore_10178.txt	Asia_10005.txt	Asia_11526.txt	Asia_10840.txt	Showbiz_9071.txt
User_10407.txt	World_10075.txt	Asia_12298.txt	World_13456.txt	Asia_10795.txt	Science_11957.txt	Asia_12022.txt	Asia_10610.txt	World_12169.txt	Sports_12679.txt	Asia_14200.txt
User_104179.txt	Sports_12384.txt	Singapore_13445.txt	Crime_12211.txt	Showbiz_12836.txt	Singapore_13975.txt	Sports_10877.txt	Singapore_15167.txt	Crime_10623.txt	Sports_11331.txt	Sports_11959.txt
User_10418.txt	Asia_10005.txt	World_15202.txt	Crime_15128.txt	Singapore_12865.txt	World_9853.txt	Asia_10485.txt	Science_9787.txt	World_15031.txt	Science_14903.txt	World_15030.txt
User_104254.txt	Asia_13488.txt	World_11474.txt	Science_15707.txt	Science_10243.txt	Science_15136.txt	Asia_15567.txt	World_16130.txt	Asia_16001.txt	Science_15664.txt	Science_9897.txt
User_104262.txt	Asia_12298.txt	Crime_16277.txt	World_14778.txt	Crime_15942.txt	Crime_10234.txt	Asia_13216.txt	Crime_12682.txt	World_9895.txt	Asia_14919.txt	World_14879.txt
User_10428.txt	World_12284.txt	Asia_13222.txt	Asia_10005.txt	Crime_10825.txt	World_10570.txt	Crime_16172.txt	Asia_14469.txt	Crime_14027.txt	World_15731.txt	Asia_13594.txt
User_10446.txt	Asia_13503.txt	Singapore_16232.txt	Singapore_11944.txt	Asia_9675.txt	Crime_15285.txt	Singapore_13939.txt	Showbiz_12418.txt	Singapore_9221.txt	Singapore_12963.txt	Singapore_9610.txt
User_104473.txt	World_10837.txt	Science_9762.txt	Singapore_14639.txt	Singapore_13974.txt	Asia_14275.txt	World_11728.txt	Sports_12555.txt	Crime_10666.txt	World_12929.txt	Science_9784.txt
User_10482.txt	Asia_10005.txt	Asia_10016.txt	Asia_11525.txt	World_13918.txt	Singapore_15166.txt	Asia_10006.txt	Asia_9640.txt	World_16198.txt	World_13718.txt	Asia_12951.txt
User_10488.txt	Asia_12522.txt	Asia_10006.txt	Asia_13072.txt	Asia_10102.txt	Asia_10014.txt	Asia_11355.txt	Crime_11670.txt	World_11473.txt	Asia_15208.txt	Crime_9306.txt
