Primary_User	Article1	Article2	Article3	Article4	Article5	Article6	Article7	Article8	Article9	Article10
20928	SGNews/Asia_10789.txt	SGNews/Asia_11706.txt	SGNews/Asia_10048.txt	SGNews/Asia_13590.txt	SGNews/Asia_11794.txt	SGNews/Asia_10678.txt	SGNews/Asia_10151.txt	SGNews/Asia_10198.txt	SGNews/Asia_10928.txt	SGNews/Asia_11467.txt
7348	SGNews/Asia_11086.txt	SGNews/Asia_10358.txt	SGNews/Asia_10359.txt	SGNews/Asia_13890.txt	SGNews/Asia_10083.txt	SGNews/Asia_11686.txt	SGNews/Asia_10151.txt	SGNews/Asia_10198.txt	SGNews/Asia_13005.txt	SGNews/Asia_11084.txt
12686	SGNews/Asia_10857.txt	SGNews/Asia_11706.txt	SGNews/Asia_10083.txt	SGNews/Asia_12729.txt	SGNews/Asia_12079.txt	SGNews/Asia_12013.txt	SGNews/Asia_13656.txt	SGNews/Asia_13874.txt	SGNews/Asia_13379.txt	SGNews/Asia_13707.txt
21387	SGNews/Asia_12792.txt	SGNews/Asia_11235.txt	SGNews/Asia_12594.txt	SGNews/Asia_13242.txt	SGNews/Asia_12514.txt	SGNews/Asia_12212.txt	SGNews/Asia_11393.txt	SGNews/Asia_12784.txt	SGNews/Asia_10981.txt	SGNews/Asia_11764.txt
5371	SGNews/Asia_11559.txt	SGNews/Asia_13588.txt	SGNews/Asia_12514.txt	SGNews/Asia_12158.txt	SGNews/Asia_13005.txt	SGNews/Asia_13021.txt	SGNews/Asia_13748.txt	SGNews/Asia_10908.txt	SGNews/Asia_11138.txt	SGNews/Asia_10611.txt
8022	SGNews/Asia_12140.txt	SGNews/Asia_11852.txt	SGNews/Asia_14145.txt	SGNews/Asia_13038.txt	SGNews/Asia_11478.txt	SGNews/Asia_11533.txt	SGNews/Asia_12355.txt	SGNews/Asia_12503.txt	SGNews/Asia_11065.txt	SGNews/Asia_11228.txt
14004	SGNews/Asia_11707.txt	SGNews/Asia_11394.txt	SGNews/Asia_10981.txt	SGNews/Asia_10083.txt	SGNews/Asia_11478.txt	SGNews/Asia_12510.txt	SGNews/Asia_12784.txt	SGNews/Asia_11688.txt	SGNews/Asia_11298.txt	SGNews/Asia_13313.txt
15641	SGNews/Asia_11707.txt	SGNews/Asia_13365.txt	SGNews/Asia_13591.txt	SGNews/Asia_13339.txt	SGNews/Asia_11506.txt	SGNews/Asia_12593.txt	SGNews/Asia_10765.txt	SGNews/Asia_13721.txt	SGNews/Asia_10660.txt	SGNews/Asia_11463.txt
15553	SGNews/Asia_11707.txt	SGNews/Asia_10083.txt	SGNews/Asia_13591.txt	SGNews/Asia_10048.txt	SGNews/Asia_13337.txt	SGNews/Asia_11463.txt	SGNews/Asia_10787.txt	SGNews/Asia_10150.txt	SGNews/Asia_10195.txt	SGNews/Asia_11464.txt
4993	SGNews/Asia_11707.txt	SGNews/Asia_10083.txt	SGNews/Asia_10151.txt	SGNews/Asia_10198.txt	SGNews/Asia_10786.txt	SGNews/Asia_13320.txt	SGNews/Asia_11466.txt	SGNews/Asia_12213.txt	SGNews/Asia_13556.txt	SGNews/Asia_10857.txt
4771	SGNews/Asia_11707.txt	SGNews/Asia_10083.txt	SGNews/Asia_12301.txt	SGNews/Asia_11505.txt	SGNews/Asia_13157.txt	SGNews/Asia_13574.txt	SGNews/Asia_13391.txt	SGNews/Asia_10048.txt	SGNews/Asia_13573.txt	SGNews/Asia_11969.txt
15057	SGNews/Asia_11394.txt	SGNews/Asia_11706.txt	SGNews/Asia_10981.txt	SGNews/Asia_10524.txt	SGNews/Asia_10152.txt	SGNews/Asia_10199.txt	SGNews/Asia_12582.txt	SGNews/Asia_11465.txt	SGNews/Asia_12961.txt	SGNews/Asia_11710.txt
10225	SGNews/Asia_12151.txt	SGNews/Asia_11459.txt	SGNews/Asia_12241.txt	SGNews/Asia_10765.txt	SGNews/Asia_13980.txt	SGNews/Asia_13885.txt	SGNews/Asia_11463.txt	SGNews/Asia_13574.txt	SGNews/Asia_10359.txt	SGNews/Asia_11477.txt
13231	SGNews/Asia_12021.txt	SGNews/Asia_12514.txt	SGNews/Asia_12313.txt	SGNews/Asia_11506.txt	SGNews/Asia_13573.txt	SGNews/Asia_12425.txt	SGNews/Asia_12976.txt	SGNews/Asia_11706.txt	SGNews/Asia_13746.txt	SGNews/Asia_13556.txt
19620	SGNews/Asia_11707.txt	SGNews/Asia_10789.txt	SGNews/Asia_13338.txt	SGNews/Asia_10151.txt	SGNews/Asia_13589.txt	SGNews/Asia_11063.txt	SGNews/Asia_12503.txt	SGNews/Asia_11467.txt	SGNews/Asia_11477.txt	SGNews/Asia_14038.txt
15575	SGNews/Asia_11707.txt	SGNews/Asia_13592.txt	SGNews/Asia_12514.txt	SGNews/Asia_13338.txt	SGNews/Asia_11792.txt	SGNews/Asia_11506.txt	SGNews/Asia_13557.txt	SGNews/Asia_13653.txt	SGNews/Asia_12244.txt	SGNews/Asia_13745.txt
7484	SGNews/Asia_11710.txt	SGNews/Asia_10753.txt	SGNews/Asia_11794.txt	SGNews/Asia_11706.txt	SGNews/Asia_12511.txt	SGNews/Asia_12206.txt	SGNews/Asia_11527.txt	SGNews/Asia_13814.txt	SGNews/Asia_11505.txt	SGNews/Asia_11791.txt
19465	SGNews/Asia_11707.txt	SGNews/Asia_13020.txt	SGNews/Asia_13591.txt	SGNews/Asia_10083.txt	SGNews/Asia_12510.txt	SGNews/Asia_13749.txt	SGNews/Asia_11505.txt	SGNews/Asia_11477.txt	SGNews/Asia_10048.txt	SGNews/Asia_12117.txt
12236	SGNews/Asia_12021.txt	SGNews/Asia_11793.txt	SGNews/Asia_12513.txt	SGNews/Asia_11506.txt	SGNews/Asia_13749.txt	SGNews/Asia_12425.txt	SGNews/Asia_12207.txt	SGNews/Asia_10362.txt	SGNews/Asia_10907.txt	SGNews/Asia_10678.txt
